id,name,explanation
d27ded49-1518-47ea-bbbb-826f9bd7b62f,"1,2-Hexanediol",A multifunctional humectant with mild antimicrobial activity — frequently used as part of preservative systems alongside phenoxyethanol or caprylyl glycol. Very well-tolerated across skin types including reactive. Not a known sensitizer.
971fe331-a220-48fd-a4ec-3921152b2012,10-DECANEDIOL,A diol with mild antimicrobial activity used as a preservative booster. Well-tolerated at typical cosmetic use levels.
a716df70-e6c4-4b10-baec-c4a32462186f,10-HYDROXYDECANOIC ACID,A hydroxy fatty acid found in royal jelly with antimicrobial and soothing properties. Well-tolerated.
eb675c2b-0ac2-4fff-b501-047b80bdacdb,2 -Hexanediol,"A humectant/preservative booster (same as 2-Hexanediol, typographical variant). Well-tolerated."
f08c6a10-f7fb-42ab-aade-c8f7d9529ec3,2-Hexanediol,A multifunctional humectant with mild antimicrobial activity — frequently used as part of preservative systems alongside phenoxyethanol or caprylyl glycol. Very well-tolerated across skin types including reactive. Not a known sensitizer.
70d7b72c-8d9c-442a-b596-146984dd34cd,3-Butanediol,A diol humectant and solvent. Well-tolerated at typical cosmetic concentrations.
effc334c-8085-4571-aaf2-3d3b04423743,3-O-Ethyl Ascorbic Acid,A stabilized Vitamin C derivative — ethylated at the 3-position to improve shelf stability while retaining brightening and antioxidant activity. Gentler and less volatile than L-ascorbic acid; well-tolerated by reactive skin.
a8dd4084-bf2e-4ba8-8885-81ccc8ff3ec9,4-Terpineol,"The main active component of tea tree oil with antimicrobial properties. At isolated concentrations (not as part of tea tree essential oil), generally well-tolerated."
1f22e117-0c61-4b50-a684-0c21478e9276,6-Naphthalate,"Part of Diethylhexyl 2,6-Naphthalate — an emollient ester. Not a sensitizer."
bde1b824-4523-414a-b175-6b094bc1b7d7,Acer Saccharum Extract,Sugar maple extract — contains antioxidant polyphenols. Well-tolerated.
34bf46d7-19c7-41f8-8c03-60afa86494ba,Acetyl Hexapeptide-8,"Argireline — a synthetic peptide that may help relax facial muscle contractions, used in anti-wrinkle formulas. Well-tolerated; not a sensitizer."
dbcd8ac5-7a84-4b05-a6f3-4c07309d2b28,Acetyl Tetrapeptide-15,"A synthetic peptide that works as a firmness anchor for reactive skin — specifically targeting the extracellular matrix (the scaffolding that holds skin cells in place) to reduce the fragile, raw feeling that comes with a compromised barrier. It also has nerve-calming properties that reduce sensitivity signals at the skin surface. Very well-tolerated; the surrounding formula matters more than this ingredient."
74730023-56df-4041-8505-9f99b5d5cd6e,Acetylated ­Glycol ­Stearate,An emollient and pearlescent agent used in creams. Not a sensitizer.
d6b447b1-1ab9-44e2-a35f-d345bc3e3d39,Acrylates Copolymer,"A synthetic polymer used as a film former, thickener, and stabilizer in various cosmetic formulas. Helps give products a smooth, even texture. Not a sensitizer; purely a functional ingredient."
d07a782b-b8b5-4cf4-ab33-47613e88a10a,ACRYLATES/ VINYL ISODECANOATE CROSSPOLYMER,A crosslinked acrylic polymer used as a thickener and film former in sunscreens and foundations. Not a sensitizer.
5c521499-0743-4eef-8ce7-22ea623f67be,Acrylates/Ammonium Methacrylate Copolymer,A synthetic film-forming polymer used in makeup and nail products. Inert; not a sensitizer.
a73aa96c-1dd4-4efa-83d1-2cfcc313ccec,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,A carbomer-type polymer thickener. Inert; not a sensitizer.
8a393cc0-481d-42dc-a800-7163192c340b,Acrylates/Dimethicone Copolymer,A silicone-acrylic hybrid polymer used as a film former in makeup and hair care. Helps products adhere to skin. Inert; not a sensitizer.
